
mood,song,artist,youtube
Happy,** manasuna Edo ragam **https://youtu.be/Y-xZIECiTwk?si=_4n3RnTF3D3l4rWv
Happy,Can't Stop The Feeling,Justin Timberlake,https://www.youtube.com/watch?v=ru0K8uYEZWw
Happy,** life is beautiful ** https://youtu.be/mAWBbyZqLDY?si=XIarB5yf5esu3299
Sad,**Just go to hell Dill ** https://youtu.be/Gl5wBrNuxx4?si=42DzMqT8hURdmC1n
Sad,Let Her Go,Passenger,https://www.youtube.com/watch?v=RBumgq5yVrA
Sad, ** Abhi na jao chodkar ** https://youtu.be/ClTAM9eHkYY?si=ePfGSnc2ByoOjDLy
Energetic,** Matargasthi ** https://youtu.be/6vKucgAeF_Q?si=SXQ-YWQZPECXJhVj
Energetic,** Give me some sunshine ** https://youtu.be/lbCRtrrMvSw?si=XxFBxcXBcjlr8gLG
Relaxed,**Weightless,Hoyna Hoyna **https://youtu.be/91EzD9VgwGk?si=TsHbGMfnllN59EHE
Relaxed,** Lali Lali ** https://youtu.be/m6D3bH8Aesg?si=m7wPBkMBDzGPApX_

